id,names,voteID
68000080031,桃園市八德區大強里,201601
68000080030,桃園市八德區大正里,201601
68000080029,桃園市八德區大昌里,201601
68000080028,桃園市八德區瑞泰里,201601
68000080027,桃園市八德區大智里,201601
68000080026,桃園市八德區大仁里,201601
68000080025,桃園市八德區大華里,201601
68000080024,桃園市八德區大信里,201601
68000080023,桃園市八德區大勇里,201601
68000080022,桃園市八德區大福里,201601
68000080021,桃園市八德區大忠里,201601
68000080020,桃園市八德區大義里,201601
68000080019,桃園市八德區大成里,201601
68000080018,桃園市八德區大同里,201601
68000080017,桃園市八德區大和里,201601
68000080016,桃園市八德區大興里,201601
68000080015,桃園市八德區大安里,201601
68000080014,桃園市八德區大湳里,201601
68000080013,桃園市八德區白鷺里,201601
68000080012,桃園市八德區高明里,201601
68000080011,桃園市八德區茄苳里,201601
68000080010,桃園市八德區霄裡里,201601
68000080009,桃園市八德區竹園里,201601
68000080008,桃園市八德區廣隆里,201601
68000080007,桃園市八德區廣興里,201601
68000080006,桃園市八德區瑞祥里,201601
68000080005,桃園市八德區瑞德里,201601
68000080004,桃園市八德區瑞發里,201601
68000080003,桃園市八德區瑞豐里,201601
68000080002,桃園市八德區福興里,201601
68000080001,桃園市八德區興仁里,201601
68000070032,桃園市龜山區楓福里,201801
68000070031,桃園市龜山區文青里,201801
68000070030,桃園市龜山區新興里,201601
68000070029,桃園市龜山區長庚里,201601
68000070028,桃園市龜山區大華里,201601
68000070027,桃園市龜山區大湖里,201601
68000070026,桃園市龜山區新嶺里,201601
68000070025,桃園市龜山區迴龍里,201601
68000070024,桃園市龜山區龍華里,201601
68000070023,桃園市龜山區福源里,201601
68000070022,桃園市龜山區幸福里,201601
68000070021,桃園市龜山區南美里,201601
68000070020,桃園市龜山區文化里,201601
68000070019,桃園市龜山區大崗里,201601
68000070018,桃園市龜山區舊路里,201601
68000070017,桃園市龜山區龍壽里,201601
68000070016,桃園市龜山區嶺頂里,201601
68000070015,桃園市龜山區新路里,201601
68000070014,桃園市龜山區山德里,201601
68000070013,桃園市龜山區中興里,201601
68000070012,桃園市龜山區大坑里,201601
68000070011,桃園市龜山區南上里,201601
68000070010,桃園市龜山區樂善里,201601
68000070009,桃園市龜山區公西里,201601
68000070008,桃園市龜山區精忠里,201601
68000070007,桃園市龜山區陸光里,201601
68000070006,桃園市龜山區山頂里,201601
68000070005,桃園市龜山區山福里,201601
68000070004,桃園市龜山區大同里,201601
68000070003,桃園市龜山區兔坑里,201601
68000070002,桃園市龜山區龜山里,201601
68000070001,桃園市龜山區楓樹里,201601
68000060019,桃園市大園區南港里,201601
68000060018,桃園市大園區北港里,201601
68000060017,桃園市大園區內海里,201601
68000060016,桃園市大園區圳頭里,201601
68000060015,桃園市大園區後厝里,201601
68000060014,桃園市大園區沙崙里,201601
68000060013,桃園市大園區海口里,201601
68000060012,桃園市大園區竹圍里,201601
68000060011,桃園市大園區菓林里,201601
68000060010,桃園市大園區三石里,201601
68000060008,桃園市大園區大海里,201601
