provinceID,cityID,districtID,townID,villageID,no,name,partyID,gender,birthday,age,birthCity,education,isCurrent,isElected,vice,id,voteID,oldID
03,002,00,000,0000,1,林聰賢,16,1,0510222,47,臺灣省,大專,N,*, ,,200901,03002000000
03,002,00,000,0000,2,呂國華,1,1,0450226,53,臺灣省,碩士,Y, , ,,200901,03002000000
03,003,00,000,0000,1,吳富彤,121,1,0481224,50,臺灣省,高中,N, , ,,200901,03003000000
03,003,00,000,0000,2,鄭文燦,16,1,0560706,42,臺灣省,大專,N, , ,,200901,03003000000
03,003,00,000,0000,3,吳志揚,1,1,0580208,40,臺灣省,碩士,N,*, ,,200901,03003000000
03,004,00,000,0000,1,邱鏡淳,1,1,0381208,60,臺灣省,碩士,N,*, ,,200901,03004000000
03,004,00,000,0000,2,張碧琴,999,2,0541210,44,臺灣省,碩士,N, , ,,200901,03004000000
03,004,00,000,0000,3,彭紹瑾,16,1,0460228,52,臺灣省,博士,N, , ,,200901,03004000000
03,004,00,000,0000,4,曾錦祥,999,1,0410809,57,臺灣省,大專,N, , ,,200901,03004000000
03,005,00,000,0000,1,楊長鎮,16,1,0520422,46,臺灣省,碩士,N, , ,,200901,03005000000
03,005,00,000,0000,2,劉政鴻,1,1,0361112,62,臺灣省,高中,Y,*, ,,200901,03005000000
03,005,00,000,0000,3,李佳穆,999,1,0390309,59,臺灣省,大專,N, , ,,200901,03005000000
03,007,00,000,0000,1,翁金珠,16,2,0360131,62,臺灣省,碩士,N, , ,,200901,03007000000
03,007,00,000,0000,2,卓伯源,1,1,0540327,44,臺灣省,碩士,Y,*, ,,200901,03007000000
03,007,00,000,0000,3,張春男,999,1,0300227,68,臺灣省,大專,N, , ,,200901,03007000000
03,008,00,000,0000,1,陳振盛,999,1,0390125,59,臺灣省,博士,N, , ,,200901,03008000000
03,008,00,000,0000,2,李文忠,16,1,0470620,51,臺灣省,高中,N, , ,,200901,03008000000
03,008,00,000,0000,3,李朝卿,1,1,0390629,59,臺灣省,碩士,Y,*, ,,200901,03008000000
03,008,00,000,0000,4,張俊宏,999,1,0270517,71,臺灣省,碩士,N, , ,,200901,03008000000
03,009,00,000,0000,1,蘇治芬,16,2,0420710,56,臺灣省,高中,Y,*, ,,200901,03009000000
03,009,00,000,0000,2,吳威志,1,1,0540414,44,臺灣省,博士,N, , ,,200901,03009000000
03,010,00,000,0000,1,翁玉隆,999,1,0361010,62,臺灣省,高中,N, , ,,200901,03010000000
03,010,00,000,0000,2,翁重鈞,1,1,0440531,54,臺灣省,碩士,N, , ,,200901,03010000000
03,010,00,000,0000,3,蕭登標,999,1,0460224,52,臺灣省,高中,N, , ,,200901,03010000000
03,010,00,000,0000,4,張花冠,16,2,0430707,55,臺灣省,大專,N,*, ,,200901,03010000000
