provinceID,cityID,districtID,townID,villageID,nameVillage,nameTown,nameDistrict,nameCity,oldID,voteID_base,trimVillage,names_no,id_no,voteID_id,trimNames,id_id2,names_id2,voteID
01,002,00,001,0009,民生里,宜蘭市,宜蘭縣,宜蘭縣,01002001009,200501,民生里,宜蘭縣宜蘭市民生里,,,宜蘭宜蘭民生,,,
01,002,00,001,0010,昇平里,宜蘭市,宜蘭縣,宜蘭縣,01002001010,200501,昇平里,宜蘭縣宜蘭市昇平里,,,宜蘭宜蘭昇平,,,
01,002,00,001,0011,大東里,宜蘭市,宜蘭縣,宜蘭縣,01002001011,200501,大東里,宜蘭縣宜蘭市大東里,,,宜蘭宜蘭大東,,,
01,002,00,001,0012,新興里,宜蘭市,宜蘭縣,宜蘭縣,01002001012,200501,新興里,宜蘭縣宜蘭市新興里,,,宜蘭宜蘭新興,,,
01,002,00,001,0013,和睦里,宜蘭市,宜蘭縣,宜蘭縣,01002001013,200501,和睦里,宜蘭縣宜蘭市和睦里,,,宜蘭宜蘭和睦,,,
01,002,00,001,0027,中正里,宜蘭市,宜蘭縣,宜蘭縣,01002001027,200501,中正里,宜蘭縣宜蘭市中正里,,,宜蘭宜蘭中正,,,
01,002,00,001,0036,慶和里,宜蘭市,宜蘭縣,宜蘭縣,01002001036,200501,慶和里,宜蘭縣宜蘭市慶和里,,,宜蘭宜蘭慶和,,,
01,002,00,001,0037,鄂王里,宜蘭市,宜蘭縣,宜蘭縣,01002001037,200501,鄂王里,宜蘭縣宜蘭市鄂王里,,,宜蘭宜蘭鄂王,,,
01,002,00,001,0040,大道里,宜蘭市,宜蘭縣,宜蘭縣,01002001040,200501,大道里,宜蘭縣宜蘭市大道里,,,宜蘭宜蘭大道,,,
01,002,00,002,0041,開羅里,羅東鎮,宜蘭縣,宜蘭縣,01002002041,200501,開羅里,宜蘭縣羅東鎮開羅里,,,宜蘭羅東開羅,,,
01,002,00,002,0042,開元里,羅東鎮,宜蘭縣,宜蘭縣,01002002042,200501,開元里,宜蘭縣羅東鎮開元里,,,宜蘭羅東開元,,,
01,002,00,002,0043,東明里,羅東鎮,宜蘭縣,宜蘭縣,01002002043,200501,東明里,宜蘭縣羅東鎮東明里,,,宜蘭羅東東明,,,
01,002,00,002,0052,居仁里,羅東鎮,宜蘭縣,宜蘭縣,01002002052,200501,居仁里,宜蘭縣羅東鎮居仁里,,,宜蘭羅東居仁,,,
01,002,00,002,0053,義和里,羅東鎮,宜蘭縣,宜蘭縣,01002002053,200501,義和里,宜蘭縣羅東鎮義和里,,,宜蘭羅東義和,,,
01,002,00,002,0054,羅東里,羅東鎮,宜蘭縣,宜蘭縣,01002002054,200501,羅東里,宜蘭縣羅東鎮羅東里,,,宜蘭羅東羅東,,,
01,002,00,002,0055,浮崙里,羅東鎮,宜蘭縣,宜蘭縣,01002002055,200501,浮崙里,宜蘭縣羅東鎮浮崙里,,,宜蘭羅東浮崙,,,
01,002,00,003,0071,岳明里,蘇澳鎮,宜蘭縣,宜蘭縣,01002003071,200501,岳明里,宜蘭縣蘇澳鎮岳明里,,,宜蘭蘇澳岳明,,,
01,003,00,004,0150,大華村,蘆竹鄉,桃園縣,桃園縣,01003004150,200501,大華村,桃園縣蘆竹鄉大華村,,,桃園蘆竹大華,,,
01,003,00,005,0177,建華村,大園鄉,桃園縣,桃園縣,01003005177,200501,建華村,桃園縣大園鄉建華村,,,桃園大園建華,,,
01,003,00,012,0432,康榔村,新屋鄉,桃園縣,桃園縣,01003012432,200501,康榔村,桃園縣新屋鄉康榔村,,,桃園新屋康榔,,,
01,007,00,001,0042,磚窯里,彰化市,彰化縣,彰化縣,01007001042,200501,磚窯里,彰化縣彰化市磚窯里,,,彰化彰化磚窯,,,
01,007,00,010,0259,大峰里,員林鎮,彰化縣,彰化縣,01007010259,200501,大峰里,彰化縣員林鎮大峰里,,,彰化員林大峰,,,
01,007,00,014,0340,瓦窯村,埔鹽鄉,彰化縣,彰化縣,01007014340,200501,瓦窯村,彰化縣埔鹽鄉瓦窯村,,,彰化埔鹽瓦窯,,,
01,009,00,006,0144,公館里,北港鎮,雲林縣,雲林縣,01009006144,200501,公館里,雲林縣北港鎮公館里,,,雲林北港公館,,,
01,009,00,017,0318,瓦窯村,元長鄉,雲林縣,雲林縣,01009017318,200501,瓦窯村,雲林縣元長鄉瓦窯村,,,雲林元長瓦窯,,,
01,009,00,019,0356,臺子村,口湖鄉,雲林縣,雲林縣,01009019356,200501,臺子村,雲林縣口湖鄉臺子村,,,雲林口湖臺子,,,
01,009,00,020,0383,舊埔村,水林鄉,雲林縣,雲林縣,01009020383,200501,舊埔村,雲林縣水林鄉舊埔村,,,雲林水林舊埔,,,
01,011,00,001,0025,舊埔里,新營市,臺南縣,臺南縣,01011001025,200501,舊埔里,臺南縣新營市舊埔里,,,臺南新營舊埔,,,
01,011,00,012,0218,溪洲里,佳里鎮,臺南縣,臺南縣,01011012218,200501,溪洲里,臺南縣佳里鎮溪洲里,,,臺南佳里溪洲,,,
01,011,00,013,0229,一秀里,學甲鎮,臺南縣,臺南縣,01011013229,200501,一秀里,臺南縣學甲鎮一秀里,,,臺南學甲一秀,,,
01,011,00,013,0230,西明里,學甲鎮,臺南縣,臺南縣,01011013230,200501,西明里,臺南縣學甲鎮西明里,,,臺南學甲西明,,,
01,011,00,013,0231,宜民里,學甲鎮,臺南縣,臺南縣,01011013231,200501,宜民里,臺南縣學甲鎮宜民里,,,臺南學甲宜民,,,
01,011,00,013,0232,煥昌里,學甲鎮,臺南縣,臺南縣,01011013232,200501,煥昌里,臺南縣學甲鎮煥昌里,,,臺南學甲煥昌,,,
01,011,00,013,0233,慈生里,學甲鎮,臺南縣,臺南縣,01011013233,200501,慈生里,臺南縣學甲鎮慈生里,,,臺南學甲慈生,,,
01,011,00,013,0235,新生里,學甲鎮,臺南縣,臺南縣,01011013235,200501,新生里,臺南縣學甲鎮新生里,,,臺南學甲新生,,,
01,011,00,013,0236,百福里,學甲鎮,臺南縣,臺南縣,01011013236,200501,百福里,臺南縣學甲鎮百福里,,,臺南學甲百福,,,
01,011,00,013,0238,文化里,學甲鎮,臺南縣,臺南縣,01011013238,200501,文化里,臺南縣學甲鎮文化里,,,臺南學甲文化,,,
01,011,00,013,0239,大安里,學甲鎮,臺南縣,臺南縣,01011013239,200501,大安里,臺南縣學甲鎮大安里,,,臺南學甲大安,,,
01,011,00,013,0240,美豐里,學甲鎮,臺南縣,臺南縣,01011013240,200501,美豐里,臺南縣學甲鎮美豐里,,,臺南學甲美豐,,,
01,011,00,013,0241,美和里,學甲鎮,臺南縣,臺南縣,01011013241,200501,美和里,臺南縣學甲鎮美和里,,,臺南學甲美和,,,
01,011,00,013,0242,達明里,學甲鎮,臺南縣,臺南縣,01011013242,200501,達明里,臺南縣學甲鎮達明里,,,臺南學甲達明,,,
01,011,00,013,0243,光明里,學甲鎮,臺南縣,臺南縣,01011013243,200501,光明里,臺南縣學甲鎮光明里,,,臺南學甲光明,,,
01,011,00,013,0244,民吉里,學甲鎮,臺南縣,臺南縣,01011013244,200501,民吉里,臺南縣學甲鎮民吉里,,,臺南學甲民吉,,,
01,011,00,013,0245,西進里,學甲鎮,臺南縣,臺南縣,01011013245,200501,西進里,臺南縣學甲鎮西進里,,,臺南學甲西進,,,
01,011,00,013,0246,白渚里,學甲鎮,臺南縣,臺南縣,01011013246,200501,白渚里,臺南縣學甲鎮白渚里,,,臺南學甲白渚,,,
01,011,00,013,0248,頭港里,學甲鎮,臺南縣,臺南縣,01011013248,200501,頭港里,臺南縣學甲鎮頭港里,,,臺南學甲頭港,,,
01,011,00,013,0250,平東里,學甲鎮,臺南縣,臺南縣,01011013250,200501,平東里,臺南縣學甲鎮平東里,,,臺南學甲平東,,,
01,011,00,013,0251,平西里,學甲鎮,臺南縣,臺南縣,01011013251,200501,平西里,臺南縣學甲鎮平西里,,,臺南學甲平西,,,
01,011,00,013,0252,頂洲里,學甲鎮,臺南縣,臺南縣,01011013252,200501,頂洲里,臺南縣學甲鎮頂洲里,,,臺南學甲頂洲,,,
01,011,00,013,0253,紅茄里,學甲鎮,臺南縣,臺南縣,01011013253,200501,紅茄里,臺南縣學甲鎮紅茄里,,,臺南學甲紅茄,,,
01,011,00,013,0254,新芳里,學甲鎮,臺南縣,臺南縣,01011013254,200501,新芳里,臺南縣學甲鎮新芳里,,,臺南學甲新芳,,,
01,011,00,015,0274,鹽埕村,七股鄉,臺南縣,臺南縣,01011015274,200501,鹽埕村,臺南縣七股鄉鹽埕村,,,臺南七股鹽埕,,,
01,011,00,015,0287,康榔村,七股鄉,臺南縣,臺南縣,01011015287,200501,康榔村,臺南縣七股鄉康榔村,,,臺南七股康榔,,,
01,011,00,018,0337,山腳里,新化鎮,臺南縣,臺南縣,01011018337,200501,山腳里,臺南縣新化鎮山腳里,,,臺南新化山腳,,,
01,011,00,018,0339,那拔里,新化鎮,臺南縣,臺南縣,01011018339,200501,那拔里,臺南縣新化鎮那拔里,,,臺南新化那拔,,,
01,011,00,020,0367,豊華村,新市鄉,臺南縣,臺南縣,01011020367,200501,豊華村,臺南縣新市鄉豊華村,,,臺南新豊華,,,
01,011,00,022,0394,玉峰村,山上鄉,臺南縣,臺南縣,01011022394,200501,玉峰村,臺南縣山上鄉玉峰村,,,臺南山上玉峰,,,
01,011,00,030,0496,石曹村,龍崎鄉,臺南縣,臺南縣,01011030496,200501,石曹村,臺南縣龍崎鄉石曹村,,,臺南龍崎石曹,,,
01,011,00,031,0511,鹽行里,永康市,臺南縣,臺南縣,01011031511,200501,鹽行里,臺南縣永康市鹽行里,,,臺南永康鹽行,,,
01,011,00,031,0512,鹽洲里,永康市,臺南縣,臺南縣,01011031512,200501,鹽洲里,臺南縣永康市鹽洲里,,,臺南永康鹽洲,,,
01,012,00,001,0029,誠正里,鳳山市,高雄縣,高雄縣,01012001029,200501,誠正里,高雄縣鳳山市誠正里,,,高雄鳳山誠正,,,
01,012,00,001,0043,海風里,鳳山市,高雄縣,高雄縣,01012001043,200501,海風里,高雄縣鳳山市海風里,,,高雄鳳山海風,,,
01,012,00,003,0111,復興村,大寮鄉,高雄縣,高雄縣,01012003111,200501,復興村,高雄縣大寮鄉復興村,,,高雄大寮復興,,,
01,012,00,007,0174,濫埔村,鳥松鄉,高雄縣,高雄縣,01012007174,200501,濫埔村,高雄縣鳥松鄉濫埔村,,,高雄鳥松濫埔,,,
01,012,00,008,0210,仁愛里,岡山鎮,高雄縣,高雄縣,01012008210,200501,仁愛里,高雄縣岡山鎮仁愛里,,,高雄岡山仁愛,,,
01,012,00,008,0211,四維里,岡山鎮,高雄縣,高雄縣,01012008211,200501,四維里,高雄縣岡山鎮四維里,,,高雄岡山四維,,,
01,012,00,008,0212,復興里,岡山鎮,高雄縣,高雄縣,01012008212,200501,復興里,高雄縣岡山鎮復興里,,,高雄岡山復興,,,
01,012,00,012,0258,峰山村,阿蓮鄉,高雄縣,高雄縣,01012012258,200501,峰山村,高雄縣阿蓮鄉峰山村,,,高雄阿蓮峰山,,,
01,012,00,019,0348,鼓山里,旗山鎮,高雄縣,高雄縣,01012019348,200501,鼓山里,高雄縣旗山鎮鼓山里,,,高雄旗山鼓山,,,
01,012,00,019,0349,新山里,旗山鎮,高雄縣,高雄縣,01012019349,200501,新山里,高雄縣旗山鎮新山里,,,高雄旗山新山,,,
01,012,00,019,0350,和平里,旗山鎮,高雄縣,高雄縣,01012019350,200501,和平里,高雄縣旗山鎮和平里,,,高雄旗山和平,,,
01,012,00,019,0367,糖廠里,旗山鎮,高雄縣,高雄縣,01012019367,200501,糖廠里,高雄縣旗山鎮糖廠里,,,高雄旗山糖廠,,,
01,012,00,026,0442,梅蘭村,桃源鄉,高雄縣,高雄縣,01012026442,200501,梅蘭村,高雄縣桃源鄉梅蘭村,,,高雄桃源梅蘭,,,
01,012,00,027,0444,民族村,三民鄉,高雄縣,高雄縣,01012027444,200501,民族村,高雄縣三民鄉民族村,,,高雄三民民族,,,
01,012,00,027,0445,民權村,三民鄉,高雄縣,高雄縣,01012027445,200501,民權村,高雄縣三民鄉民權村,,,高雄三民民權,,,
01,012,00,027,0446,民生村,三民鄉,高雄縣,高雄縣,01012027446,200501,民生村,高雄縣三民鄉民生村,,,高雄三民民生,,,
01,013,00,005,0145,廈北村,萬丹鄉,屏東縣,屏東縣,01013005145,200501,廈北村,屏東縣萬丹鄉廈北村,,,屏東萬丹廈北,,,
01,013,00,005,0146,廈南村,萬丹鄉,屏東縣,屏東縣,01013005146,200501,廈南村,屏東縣萬丹鄉廈南村,,,屏東萬丹廈南,,,
01,013,00,017,0310,瓦窯村,新園鄉,屏東縣,屏東縣,01013017310,200501,瓦窯村,屏東縣新園鄉瓦窯村,,,屏東新園瓦窯,,,
01,013,00,019,0339,崎峰村,林邊鄉,屏東縣,屏東縣,01013019339,200501,崎峰村,屏東縣林邊鄉崎峰村,,,屏東林邊崎峰,,,
01,013,00,028,0414,涼山村,瑪家鄉,屏東縣,屏東縣,01013028414,200501,涼山村,屏東縣瑪家鄉涼山村,,,屏東瑪家涼山,,,
01,014,00,003,0055,里壟里,關山鎮,臺東縣,臺東縣,01014003055,200501,里壟里,臺東縣關山鎮里壟里,,,臺東關山里壟,,,
01,014,00,015,0142,台板村,達仁鄉,臺東縣,臺東縣,01014015142,200501,台板村,臺東縣達仁鄉台板村,,,臺東達仁台板,,,
01,014,00,015,0143,土板村,達仁鄉,臺東縣,臺東縣,01014015143,200501,土板村,臺東縣達仁鄉土板村,,,臺東達仁土板,,,
01,016,00,001,0001,新復里,馬公市,澎湖縣,澎湖縣,01016001001,200501,新復里,澎湖縣馬公市新復里,,,澎湖馬公新復,,,
01,016,00,001,0031,時裡里,馬公市,澎湖縣,澎湖縣,01016001031,200501,時裡里,澎湖縣馬公市時裡里,,,澎湖馬公時裡,,,
01,018,00,001,0023,偉功里,東區,新竹市,新竹市,01018001023,200501,偉功里,新竹市東區偉功里,,,新竹東偉功,,,
01,019,00,004,0085,富臺里,東區,臺中市,臺中市,01019004085,200501,富臺里,臺中市東區富臺里,,,臺中東富臺,,,
01,020,00,001,0005,東平里,東區,嘉義市,嘉義市,01020001005,200501,東平里,嘉義市東區東平里,,,嘉義東東平,,,
01,020,00,001,0012,東噴里,東區,嘉義市,嘉義市,01020001012,200501,東噴里,嘉義市東區東噴里,,,嘉義東東噴,,,
01,020,00,001,0013,東山里,東區,嘉義市,嘉義市,01020001013,200501,東山里,嘉義市東區東山里,,,嘉義東東山,,,
01,020,00,001,0014,東安里,東區,嘉義市,嘉義市,01020001014,200501,東安里,嘉義市東區東安里,,,嘉義東東安,,,
01,020,00,001,0015,大街里,東區,嘉義市,嘉義市,01020001015,200501,大街里,嘉義市東區大街里,,,嘉義東大街,,,
01,020,00,001,0016,祐民里,東區,嘉義市,嘉義市,01020001016,200501,祐民里,嘉義市東區祐民里,,,嘉義東祐民,,,
01,020,00,001,0017,東仁里,東區,嘉義市,嘉義市,01020001017,200501,東仁里,嘉義市東區東仁里,,,嘉義東東仁,,,
01,020,00,001,0018,內安里,東區,嘉義市,嘉義市,01020001018,200501,內安里,嘉義市東區內安里,,,嘉義東內安,,,
01,020,00,001,0019,雲霄里,東區,嘉義市,嘉義市,01020001019,200501,雲霄里,嘉義市東區雲霄里,,,嘉義東雲霄,,,
01,020,00,001,0020,建國里,東區,嘉義市,嘉義市,01020001020,200501,建國里,嘉義市東區建國里,,,嘉義東建國,,,
01,020,00,001,0021,府路里,東區,嘉義市,嘉義市,01020001021,200501,府路里,嘉義市東區府路里,,,嘉義東府路,,,
01,020,00,001,0022,鎮南里,東區,嘉義市,嘉義市,01020001022,200501,鎮南里,嘉義市東區鎮南里,,,嘉義東南,,,
01,020,00,001,0023,志航里,東區,嘉義市,嘉義市,01020001023,200501,志航里,嘉義市東區志航里,,,嘉義東志航,,,
01,020,00,001,0024,崇文里,東區,嘉義市,嘉義市,01020001024,200501,崇文里,嘉義市東區崇文里,,,嘉義東崇文,,,
01,020,00,001,0025,龍山里,東區,嘉義市,嘉義市,01020001025,200501,龍山里,嘉義市東區龍山里,,,嘉義東龍山,,,
01,020,00,001,0026,安平里,東區,嘉義市,嘉義市,01020001026,200501,安平里,嘉義市東區安平里,,,嘉義東安平,,,
01,020,00,001,0027,文昌里,東區,嘉義市,嘉義市,01020001027,200501,文昌里,嘉義市東區文昌里,,,嘉義東文昌,,,
01,020,00,001,0028,蘭井里,東區,嘉義市,嘉義市,01020001028,200501,蘭井里,嘉義市東區蘭井里,,,嘉義東蘭井,,,
01,020,00,001,0029,光復里,東區,嘉義市,嘉義市,01020001029,200501,光復里,嘉義市東區光復里,,,嘉義東光復,,,
01,020,00,001,0030,初陽里,東區,嘉義市,嘉義市,01020001030,200501,初陽里,嘉義市東區初陽里,,,嘉義東初陽,,,
01,020,00,001,0031,震安里,東區,嘉義市,嘉義市,01020001031,200501,震安里,嘉義市東區震安里,,,嘉義東震安,,,
01,020,00,001,0043,北城里,東區,嘉義市,嘉義市,01020001043,200501,北城里,嘉義市東區北城里,,,嘉義東北城,,,
01,020,00,001,0044,仁武里,東區,嘉義市,嘉義市,01020001044,200501,仁武里,嘉義市東區仁武里,,,嘉義東仁武,,,
01,020,00,001,0045,泰安里,東區,嘉義市,嘉義市,01020001045,200501,泰安里,嘉義市東區泰安里,,,嘉義東泰安,,,
01,020,00,001,0046,檜村里,東區,嘉義市,嘉義市,01020001046,200501,檜村里,嘉義市東區檜村里,,,嘉義東檜,,,
01,020,00,001,0047,社口里,東區,嘉義市,嘉義市,01020001047,200501,社口里,嘉義市東區社口里,,,嘉義東社口,,,
01,020,00,001,0048,仁和里,東區,嘉義市,嘉義市,01020001048,200501,仁和里,嘉義市東區仁和里,,,嘉義東仁和,,,
01,020,00,002,0055,驛站里,西區,嘉義市,嘉義市,01020002055,200501,驛站里,嘉義市西區驛站里,,,嘉義西驛站,,,
01,020,00,002,0056,民安里,西區,嘉義市,嘉義市,01020002056,200501,民安里,嘉義市西區民安里,,,嘉義西民安,,,
01,020,00,002,0057,菜園里,西區,嘉義市,嘉義市,01020002057,200501,菜園里,嘉義市西區菜園里,,,嘉義西菜園,,,
01,020,00,002,0058,集英里,西區,嘉義市,嘉義市,01020002058,200501,集英里,嘉義市西區集英里,,,嘉義西集英,,,
01,020,00,002,0059,福松里,西區,嘉義市,嘉義市,01020002059,200501,福松里,嘉義市西區福松里,,,嘉義西福松,,,
01,020,00,002,0060,義昌里,西區,嘉義市,嘉義市,01020002060,200501,義昌里,嘉義市西區義昌里,,,嘉義西義昌,,,
01,020,00,002,0061,自治里,西區,嘉義市,嘉義市,01020002061,200501,自治里,嘉義市西區自治里,,,嘉義西自治,,,
01,020,00,002,0062,大業里,西區,嘉義市,嘉義市,01020002062,200501,大業里,嘉義市西區大業里,,,嘉義西大業,,,
01,020,00,002,0063,中庸里,西區,嘉義市,嘉義市,01020002063,200501,中庸里,嘉義市西區中庸里,,,嘉義西中庸,,,
01,020,00,002,0064,學圃里,西區,嘉義市,嘉義市,01020002064,200501,學圃里,嘉義市西區學圃里,,,嘉義西學圃,,,
01,020,00,002,0065,北杏里,西區,嘉義市,嘉義市,01020002065,200501,北杏里,嘉義市西區北杏里,,,嘉義西北杏,,,
01,020,00,002,0066,社內里,西區,嘉義市,嘉義市,01020002066,200501,社內里,嘉義市西區社內里,,,嘉義西社內,,,
01,020,00,002,0067,民生里,西區,嘉義市,嘉義市,01020002067,200501,民生里,嘉義市西區民生里,,,嘉義西民生,,,
01,020,00,002,0068,慶昇里,西區,嘉義市,嘉義市,01020002068,200501,慶昇里,嘉義市西區慶昇里,,,嘉義西慶昇,,,
01,020,00,002,0069,通運里,西區,嘉義市,嘉義市,01020002069,200501,通運里,嘉義市西區通運里,,,嘉義西通運,,,
01,020,00,002,0070,榮檜里,西區,嘉義市,嘉義市,01020002070,200501,榮檜里,嘉義市西區榮檜里,,,嘉義西榮檜,,,
01,020,00,002,0071,功科里,西區,嘉義市,嘉義市,01020002071,200501,功科里,嘉義市西區功科里,,,嘉義西功科,,,
01,020,00,002,0072,康莊里,西區,嘉義市,嘉義市,01020002072,200501,康莊里,嘉義市西區康莊里,,,嘉義西康莊,,,
01,020,00,002,0074,力行里,西區,嘉義市,嘉義市,01020002074,200501,力行里,嘉義市西區力行里,,,嘉義西力行,,,
01,020,00,002,0080,磚窯里,西區,嘉義市,嘉義市,01020002080,200501,磚窯里,嘉義市西區磚窯里,,,嘉義西磚窯,,,
01,020,00,002,0082,華明里,西區,嘉義市,嘉義市,01020002082,200501,華明里,嘉義市西區華明里,,,嘉義西華明,,,
01,020,00,002,0086,導民里,西區,嘉義市,嘉義市,01020002086,200501,導民里,嘉義市西區導民里,,,嘉義西導民,,,
01,020,00,002,0095,長安里,西區,嘉義市,嘉義市,01020002095,200501,長安里,嘉義市西區長安里,,,嘉義西長安,,,
01,020,00,002,0098,慶昌里,西區,嘉義市,嘉義市,01020002098,200501,慶昌里,嘉義市西區慶昌里,,,嘉義西慶昌,,,
01,020,00,002,0099,小湖里,西區,嘉義市,嘉義市,01020002099,200501,小湖里,嘉義市西區小湖里,,,嘉義西小湖,,,
01,020,00,002,0100,竹文里,西區,嘉義市,嘉義市,01020002100,200501,竹文里,嘉義市西區竹文里,,,嘉義西竹文,,,
01,021,00,001,0019,復國里,東區,臺南市,臺南市,01021001019,200501,復國里,臺南市東區復國里,,,臺南東復國,,,
01,021,00,001,0020,中興里,東區,臺南市,臺南市,01021001020,200501,中興里,臺南市東區中興里,,,臺南東中興,,,
01,021,00,002,0052,興中里,南區,臺南市,臺南市,01021002052,200501,興中里,臺南市南區興中里,,,臺南南興中,,,
01,021,00,004,0142,大山里,北區,臺南市,臺南市,01021004142,200501,大山里,臺南市北區大山里,,,臺南北大山,,,
01,021,00,005,0217,鹽田里,安南區,臺南市,臺南市,01021005217,200501,鹽田里,臺南市安南區鹽田里,,,臺南安南鹽田,,,
