provinceID,cityID,districtID,townID,villageID,nameVillage,nameTown,nameDistrict,nameCity,oldID,voteID_base,trimVillage,names,id,voteID_id
01,000,00,007,0233,恒安里,中山區,臺北市,臺北市,01000007233,200601,恒安里,臺北市中山區恒安里,,
02,000,00,004,0085,復興里,左營區,高雄市,高雄市,02000004085,200601,復興里,高雄市左營區復興里,,
02,000,00,006,0220,港北里,三民區,高雄市,高雄市,02000006220,200601,港北里,高雄市三民區港北里,,
02,000,00,011,0455,海澄里,小港區,高雄市,高雄市,02000011455,200601,海澄里,高雄市小港區海澄里,,
02,000,00,011,0456,海昌里,小港區,高雄市,高雄市,02000011456,200601,海昌里,高雄市小港區海昌里,,
02,000,00,011,0457,海豐里,小港區,高雄市,高雄市,02000011457,200601,海豐里,高雄市小港區海豐里,,
02,000,00,011,0458,海原里,小港區,高雄市,高雄市,02000011458,200601,海原里,高雄市小港區海原里,,
02,000,00,011,0459,海城里,小港區,高雄市,高雄市,02000011459,200601,海城里,高雄市小港區海城里,,
